,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
10,barriärbrott,,,,,"Pontus: 
Finns ej i SoS eller rikstermbank. Ordet innebär att man bryter kroppens naturliga hudbarriär genom olika ingrepp ex operationssår, sätta dränage, PVK/CVK osv. Dvs både sår och infarter/utfarter.","VoB
FVM upphandling",Pontus,,,,"[hälso- och sjukvård]
icke naturlig förbindelse mellan kroppens 
i huden, traumatiskt eller av sjukvården utförd iatrogent och synligt
eller icke synligt,",,Def. ej,2018-02-15,,,"Att kunna få ett samlingsbegrepp på sår och infarter/utfarter att använda för kravställan kring en grafisk översikt över patientens slangar och sår. Magnus frågar Gunnar H.

2018-02-14 Pontus: Behöver ej definieras då vi använder in- och utfarter samt sår istället. Bredare och mer lätthanterliga ord. 

2017-11-06: vi inväntar en definition från Gunnar o Pontus",,
11,batchnummer,,,,,Tillverkningspartiets nummer eller referens på förpackningen till ett läkemedel,"VoB
FVM upphandling",,,,,,,Def. ej,2017-10-22,,,"2017-04-18 annkl defineras inte, används i informationsmodellen",,
12,delegerad,,,,,"Med delegering avses i denna författning att någon som tillhör Hälso- och sjukvårdspersonalen och som är formellt kompetent för en medicinsk arbetsuppgift överlåter denna till en annan person som saknar formell kompetens för uppgiften
Källa: SOSFS 1997:14","VoB
FVM upphandling",,,,,,,Def. ej,,,,Se delegering i  A-listan,,
13,delegering,,,,,,"VoB
FVM upphandling",Pelle,,,,utdelande av mandat,,Klar,2017-09-14,"Se A-listan
FVM upphandling",,,,
14,delleverans,,,,,,"
FVM upphandling",,,,,avser leverans och implementation av Lösningen vid enskilda eller grupper av vårdenheter i enlighet med Överordnad Tidplan.,,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
15,deltacheck,,,,,Skillnad mellan en patients nuvarande resultat och historiska resultat som överskrider en fördefinierad gräns.,"MT&LIS
FVM upphandling",,,,,"jämförelse mellan konsekutiva laboratorievärden för en patient i syfte att påvisa plötsliga förändringar, vanligen som del i datorbaserad kvalitetssäkring",,Klar,2018-02-06,"dP Std
FVM upphandling",,,,
16,digitalisering,,,,, ,"Std
FVM upphandling",,,,,"operativt arbete med överföring av information, data och metadata till digitala format",,Pågår,2019-11-20,FVM,,,,
17,digitisering,,,,,,"VoB
FVM upphandling",,,,,konvertering av information från analog till digital form,,Pågår,2019-11-20,FVM,,,,
18,dokumentera,,,,,,"Std
FVM upphandling",,,,,,,Def. ej,,"Se A-listan
FVM upphandling",,Se dokumentering: hälso- och sjukvårdsaktivitet där patientjournal skapas eller underhålls,,
19,e-hälsa,,,,,,"T&A
FVM upphandling",,,,,,,,,,,,,
20,"epikris
",,,,,Ett ord som beskriver sammanfattning av vårdkontakten som varit.,"Std
FVM upphandling",,,,,klinisk rapport innehållande sammanfattande information om en hel vårdprocess eller en del av den ,,Klar,2017-10-11,"Se A-listan
FVM upphandling",,Epikris och slutanteckning defineras var för sig.,,
21,fastställd vårdplats,,,,,,"Kommun
FVM upphandling",,,,,vårdplats (9.1.2.1) i sluten vård (5.4) beslutad av vårdgivare (1.2.1.1) ,,Klar,2017-10-30,Socialstyrelsens termbank reviderad ,,"Inhämtad från modellarbetet och
 Termforum 2017-10-30",,
22,generell,,,,,,FVM upphandling,,,,,"som gäller en vid mängd objekt, allmän",,Pågår,2019-11-20,,,,,
23,generisk,,,,,som har ett vidare användningsområde än i just den kontext i vilken den bearbetas,"MT&LIS
FVM upphandling",,,,,som har ett vidare användningsområde än i just den kontext i vilken den bearbetas,,Pågår,2019-11-20,,,,,
24,implicit samtycke,passivt samtycke,,,,"RSK 771-2008: Regionövergripande villkor för behörighetstilldelning, spärr för åtkomst samt regler för kontroll av åtkomst till patientuppgifter.","MT&LIS
FVM upphandling",,,,,samtycke som patienten eller företrädare inte kunnat ge men som förutsätts av omständigheterna ,,Klar,,"Se A-lista
FVM upphandling",,passivt samtycke,,
25,informatik,,,,,"
","VoB
FVM upphandling",,,,,"vetenskapsgren som avser information i allmänhet, samt ett flertal specialiserade områden som bearbetning och överföring av data och information, beslutsstödsystem, databaser och systemutveckling, datorstödd insamling, händelsestyrd programutveckling, informationssystemmiljöer, informationsteknologi, objektorienterad systemutveckling, samt programkonstruktion",,,,,,,,
26,informationselement,,,,,,"I&I
FVM upphandling",,,,,den minsta enhet av information som kan förmedlas mellan den som använder ett tekniskt system och själva systemet respektive mellan olika tekniska system,,,,,,,,
27,katalogtjänst,,,,,,"Std
FVM upphandling",,,,,funktion till hjälp att hitta och utnyttja resurser,,Klar,2017-11-06,"dp Std
FVM upphandling",,B ändra till B2,,
28,läkemedelsövertag,,,,,Läkaren bedömer att föreligger risk för osäker läkemedelshantering. Patienten sköter inte sin medicinering. Läkaren ska i samråd besluta om att ansvar för läkemedelshantering ska övergå till kommunal hälso- och sjukvård.  Exempel på användning Mölndal: Läkare ansvarar för att ta beslut om läkemedelsövertag tillsammans med den enskilde innan remiss för läkemedelsövertag skickas till sjuksköterska inom kommunal hälso- och sjukvård Exempel 2 Sjuksköterskan ansvarar för att  läkemedelsövertag dokumenteras i patientens elektroniska journal och att vårdplan för läkemedelshantering upprättas. Exempel 3. Läkemedelsövertag kan ske helt eller delvis.,"VoB
FVM upphandling",Maria Hjelte,,,,övertagande  av ansvar för läkemedelshantering gällande en patient,,Klar,2018-03-22,"dP Std
FVM upphandling",,Införd i A,,
29,operationer,,,,,,"T&A
FVM upphandling",,,,,"handling, åtgärd eller utförande, särsklit av komplicerat slag",,,,,,,,
30,papperslös,,,,,,FVM upphandling,,,,,"person som befinner sig i irreguljär migration. En person som inte är medborgare i EU får uppehålla sig i Sverige maximalt tre månader eller den tid som anges i visum. Därefter krävs uppehållstillstånd. Om personen inte har detta är hen papperslös eller irreguljär migrant. Om personen har sökt asyl är hen inte papperslös, inte heller om asyl avslagits, personen utvisats. Hen är då illegal migrant. Ordet papperslös är en översättning av franska sans papier",,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
31,patientmonitorering,,,,,,FVM upphandling,Magnus Snäckestrand,,,,"övervakning av en patients tillstånd med stöd av mätvärden, konfigurerbara gränsvärden och notifikation när ett mätvärde är utanför konfigurerad gräns
",,Klar,2018-02-13,"dPStd
FVM upphandling",,"2018-01-09, Perha11: Första förslag på definition för vidare utredning av innebörden i begreppet. Åter Dp.
2018-01-10, Perha11: beslutas i Termgruppen
2018-02-09 karkj, förslag 2
Inkommen definition som kommer att ändras:
upprepad, planerad och strukturerad inhämtning av patients hälsotillstånd i syfte att studera förändringar över tid",,
32,patientnära analys,,,,,"Patientnära analyser är de som utförs av vårdpersonal alternativt labpersonal på avdelning/mottagning inom sjukvården eller kommunal omsorg, men utanför Labmedicin. Detta till skillnad från egentestning som görs av patienten. Innehåller t.ex: 
B-Ketoner
Blodgaser
CRP
Feces Hb
Glukos
Hb
HbA1c
Mononucleos
Strep A
Urintestremsor
Tromboelastografi
http://vardgivare.skane.se/vardriktlinjer/laboratoriemedicin/pna/","Kommun
FVM upphandling",,,,,laboratorieanalys utförd av hälso- och sjukvårdpersonal nära patienten och där analysen blir klar i samband med samma  vårdkontakt,,Klar,2017-11-06,"dP Std
FVM upphandling",,,,
33,patientportal,,,,,,"T&A
FVM upphandling",,,,,öppet gränssnitt där patienten eller företrädare med autentisering och behörighet har tillgång till ett urval av dokumentation i hälso- och sjukvårdens informationssystem ,,Klar,,"dp Std
FVM upphandling",,,,
34,personcentrerad vård,,,,-,4.1..2 ,#NAMN?,lenli48,,,,"vård med ett etiskt förhållnigssätt baserat på partnerskap mellan patienter/närstående och hälso- och sjukvårdspersonal professionella inom vård, omsorg och rehabilitering",,Klar,2017-11-07,"dP Std 
FVM upphandling
baserat på Centrum för personcentrerad vård vid Göteborgs universitet ",,Finns väl beskrivet i Kravspec Bilaga 4 innan Dialog 1. Återkoppla till I&I,,
35,populationshälsa,,,,,,"Std
FVM upphandling",-,,,,definierad uppsättning av hälsoförhållanden (2.2.1) i en folkgrupp (1.3) ,,Klar,2017-10-30,FVM ,,"Inhämtad från modellarbetet och
 Termforum 2017-10-30",,
36,portal,,,,,,"VoB
FVM upphandling",,,,,,,,,,,,,
37,pseudonym,,,,,,"T&A
FVM upphandling",Pelle,,,,identitetsbeteckning som skiljer sig från det som vanligen används för att identifiera ett objekt eller en person och som endast med speciella procedurer som inte är allmänt tillgängliga kan kopplas till den ursprungliga identitetsbeteckningen,,Klar,2017-09-14,Socialstyrelsens termbank,,,,
38,pseudonymisering,,,,,,FVM upphandling,,,,,ersättande av en identitetsbeteckning med en pseudonym,,Klar,,Socialstyrelsens termbank,,,,
39,referensinformationsmodell,,,,,,FVM upphandling,,,,,modell över hur informationsmängder på generisk nivå förhåller sig till varandra och beskriver deras egenskaper med attribut,,Pågår,2019-11-20,FVM,,Diskussion med Sofa,,
40,referensmasterdata,,,,,,"Kommun
FVM upphandling",,,,,masterdata som ej är skapad av organisationen själv utan inhämtas från andra externa system/tjänster,,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
41,regional medicinsk riktlinje,,,,,,"T&A
FVM upphandling",,,,,"definition enligt Begreppssystem v 1.0:
utifrån kunskapsunderlag systematiskt framtagna regionspecifika rekommendationer för hälso- och sjukvårdsaktiviteter vid specifika hälsotillstånd",,,,,,,,
42,regional plan,,,,,,FVM upphandling,,,,,,,,,,,,,
43,regional riktlinje,,,,,,,,,,,,,Ny,,,,,,
44,regional rutin,,,,,,,,,,,"förslag till definition:
regionalt beslutad anvisning för hur en arbetsuppgift ska utföras
Då bör termen vara regional anvisning
regionalt utarbetad metod för en arbetsuppgift",,,,,,,,
45,sammanfattad hälsoinformation,,,,,,FVM upphandling,,,,,datalager innehållande sammanfattande information för koordinering och kontinuitet i vården,,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
46,sensor,,,,,,,,,,,,,Ny,,,,,,
47,slutanteckning,,,,,"VI har uppmärksammat när vi går igenom kravmassan att det stycke som handlar om Slutanteckning 5.2.5 inte omfattar vårt behov av sammanfattning av vård. Vi har läst i HSLF-FS 2016:40 så används ""slutanteckning och andra sammanfattningar av genomförd vård"". Epikris nämns inte alls. Därför önskar vi att ni ser över begreppen i vår lista och att Slutanteckning är den term som används som sammanfattning av vård oavsett sluten-. öppen eller kommunal hälso-och sjukvård.  Epikris kan nämnas i anmärkning. http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20494/2017-3-2.pdf","Kommun
FVM upphandling",Ann-Charlotte,,,,epikris som upprättas när ett vårdtillfälle eller vårdepisod  avslutas,,Klar,2017-09-21,FVM upphandling,,I version 3 utvidgas definitionen såsom framgår i definitionsrutan och täcker därmed öppenvårdsepisoder. Vårdepisod definieras: period under vilken hälso- och sjukvårdsaktiviteter (3.2.1) utförs syftande på ett hälsoförhållande (2.2.1) .,,
48,standard,,,,,,,,,,,"dokument som är upprättat i konsensus och fastställt av erkänt organ och som för allmän och upprepad användning ger regler eller riktlinjer för aktiviteter eller deras resultat, i syfte att nå största möjliga enighet i ett visst sammanhang",,,,,,,,
49,"standardisera, standardisering",,,,,,,,,,,göra till standard alternativt anpassa till standard,,,,,,,,
50,särskild behörighet,,,,,Det krävs att verksamhetschefen analyserar och aktivt tar ställning till vilken information som är nödvändig för en viss tjänst och utifrån detta tilldelar användaren behörighet för åt-komst till patientuppgifter. Verksamhetschefens ansvarsområde utgör grund för behörighets-tilldelning. Olika roller/kategorier ska identifieras motsvarande olika yrkesgrupper inom verksamhetschefens ansvarsområde som ska utgöra en grundbehörighetstilldelning. Resterande behörigheter identifieras som särskild behörighet,"T&A
FVM upphandling",,,,,"RSK 771-2008: 
regionövergripande villkor för behörighetstilldelning, spärr för åtkomst samt regler för kontroll av åtkomst till patientuppgifter.",,Def. ej,2017-12-15,,,"2017-12-15: Ok med T&A att det inte definieras.
2017-11-02, Perha11: Allmänspråk, definieras ej.
2017-11-07: Gerd kolla med dP",,
51,tjänstekredit ,,,,,,,,,,,avser sådan återbetalning/nedsättning av Ersättningen som ska göras enligt Avtalet på grund av brott mot avtalade Tjänstemål.,,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
52,hälso- och sjukvård,,,,,,,,,,,"hälso- och sjukvårdsaktiviteter (7.2), tjänster, ledning/styrning eller stöd som är relaterat till en individs hälsa (26.1)

Alternativ definition     åtgärder för att medicinskt förebygga, utreda och behandla sjukdomar och skador (Socialstyrelsens termbank) 

hälso- och sjukvårdstjänster som hälso- och sjukvårdspersonal tillhandahåller patienter i syfte att bedöma, bibehålla eller återställa deras hälsotillstånd, inbegripet förskrivning, utlämning och tillhandahållande av läkemedel och medicinska hjälpmedel (EUROPAPARLAMENTETS OCH RÅDETS DIREKTIV 2011/24/EU av den 9 mars 2011 om tillämpningen av patienträttigheter vid gränsöverskridande hälso- och sjukvård)",,Klar,2019-12-10,SS-EN 15224:2017 ,,,,
53,vårdkontinuitet,,,,,,,,,,,samordning av åtgärder i en hälso- och sjukvårdsprocess (8.2) i avsikt att undvika avbrott i processen.,,Klar,2019-12-10,Contsys SE (revisionsförslag till ISO),,,,
54,begrepp,,,,,,,,,,,kunskapsenhet som skapats genom en unik kombination av kännetecken,,Klar,2019-12-10,ISO 1087-1_2000,,,,
55,begreppssystem,,,,,,,,,,,uppsättning begrepp (3.2.1) strukturerade utifrån sina inbördes relationer,,Klar,2019-12-10,ISO 1087-1:2000,,,,
56,avrådd term,,,,,,,,,,,term som avråtts av en behörig instans,,Klar,2019-12-10,ISO 1087-1:2000/Contsys SE,,,,
57,organisation,,,,,,,,,,,"person (3.3.4) eller grupp av personer (3.3.4) med ansvar, befogenheter och samband för att nå sina mål",,Klar,2019-12-10,SS-EN ISO 9000:2015 ,"Anmärkning 1: Till termpost: Begreppet organisation innefattar, men är inte begränsat till, egenföretagare, bolag, koncern, firma, företag, myndighet, affärspartner, förbund, välgörenhetsorganisation eller institution, eller delar alternativt kombinationer av dem, oavsett ägarstruktur eller om de är offentliga eller privata

Anmärkning 2: Till termpost: Grupper eller underavdelningar av organisationer kan också ses som organisationer där de för informationsutbytets skull behöver identifieras på detta sätt. 

Anmärkning 3: Till termpost: I denna Internationella Standard gäller denna definition för alla slags organisationer, oavsett deras legala status.

Anmärkning 4: En organisation behöver inte vara formellt definierad, inte en organisatorisk enhet. Grunden för begreppet är att den grupp av personer som arbetar i organisationen har ett gemensamt mål. En organisation kan bildas och upplösas medan en process pågår.",,,
58,organisationsstruktur,,,,,,,,,,,samband mellan de olika delarna i en organisation (3.3.1),,Klar,2019-12-10,Contsys SE,,,,
59,intressent,,,,,,,,,,,person (3.3.4) eller grupp som har en roll (3.3.5) i relation till en verksamhet i en specifik sammanslutning eller visst verksamhetsområde,,Klar,2019-12-10,ISO 8459:2009,,,,
60,person,,,,,,,,,,,mänsklig individ,,Klar,2019-12-10,NI,,,,
61,roll,,,,,,,,,,,funktion eller position,,Klar,2019-12-10,ISO/HL7 21731:2006,,,,
62,personroll,,,,,,,,,,,roll (3.3.5) för en person (3.3.4),,Klar,2019-12-10,Contsys SE ,,,,
63,organisatorisk roll,,,,,,,,,,,roll (3.3.5) för en organisation (3.3.1),,Klar,2019-12-10,Contsys SE,,,,
64,resurs,,,,,,,,,,,tillgång som används eller förbrukas medan en process (3.6.1) utförs,,Klar,2019-12-10,Contsys SE,"Anmärkning 1: Inkluderar olika komponenter såsom finansiering, personal, anordningar, fasta inventarier och verktyg samt resurser som el, vatten, bränsle och infrastrukturer för kommunikation.

Anmärkning 2 : I resurser ingår sådana som är återanvändbara, förnybara eller förbrukningsbara.",,,
65,medicinteknisk produkt,,,,,,,,,,,"instrument, apparatur, verktyg, maskin, anordning, implantat, in vitro-reagens eller in vitro-kalibrator, mjukvara, material eller annan liknande eller relaterad artikel, som av tillverkaren är avsedd att enskilt eller i kombination användas för människor för ett eller flera av följande specifika ändamål: ? diagnos (26.7) , prevention, övervakning, behandling eller avhjälpande av sjukdom (26.4.2.5.3) , ? diagnos (26.7) , övervakning, behandling, avhjälpande av eller som kompensation för en skada (26.4.2.5.4), ? undersökning, ersättning, modifiering eller stöd för anatomin eller för en fysiologisk process (3.6.1) , ? stöd för eller upprätthållande av liv, ? befruktningskontroll, ? desinfektion av medicinteknisk produkt (3.4.2) , ? tillhandahållande av information (3.9.5) för medicinska ändamål genom in vitro-undersökning av prover tagna från människokroppen, och som inte fyller sin primära avsedda funktion i eller på människokroppen med farmakologiska, immunologiska eller metaboliska medel, men som stöds i sin funktion med sådana medel

Alternativ definition     produkt som används för att påvisa, förebygga, övervaka, behandla eller lindra en sjukdom påvisa, övervaka, behandla, lindra eller kompensera en skada eller en funktionsnedsättning, undersöka, ändra eller ersätta anatomi eller en fysiologisk process eller kontrollera befruktning (Socialstyrelsens termbank). ",,Klar,2019-12-10,"ISO 14971:2007, 2.9/Contsys SE","Anmärkning 1     Alla underbegrepp till medicinteknisk produkt representerar utrustning som följer lagstiftningen. Förbrukningsartiklar som inte följer lagstiftningen är inte medicintekniska produkter. Läkemedel är inte medicintekniska produkter och följer en egen lagstiftning

Anmärkning 2     Socialstyrelsens definition är baserad på lagen (1993:584) om medicintekniska produkter. Som framgår av såväl definitionen som exemplen är medicintekniska produkter av vitt skilda slag och ingår i begreppssystemet som apparater (materiel), produkter för definitiv applicering (implantat, material utan förutbestämd förbrukningstid) och förbrukningsartiklar (material som är konsumerat i och med att det använts, t.ex. sprutor och kanyler).

Exempel 1     Sprutor, kontaktlinsprodukter, kanyler, infusionsaggregat, pumpar för läkemedelstillförsel, kondomer, hjärt-lungmaskiner, röntgenapparater, EKG-apparater, ergometercyklar i medicinsk användning. Till medicin-tekniska produkter räknas också mjukvara som har samband med produkten, t.ex. EKG-mätningsutrustning, styrprogram för MR-kamera och infusionspump. Eftersom sådan mjukvara förutsätts i större eller mindre utsträckning kunna vara integrerad i ett dokumentationssystem räknas det kärnsystem som upphandlas som medicinteknisk produkt.",,,
66,läkemedel,,,,,,,,,,,"substans eller kombination av substanser som kan ges till människor för att behandla eller förhindra sjukdom (26.4.2.5.3), för att ställa en medicinsk diagnos (26.7) eller för att återställa, korrigera eller förändra fysiologiska funktioner",,Klar,2019-12-10,ISO 11615:2012,,,,
67,kvalitet inom hälso- och sjukvård,,,,,,,,,,,utsträckning i vilken hälso- och sjukvården (3.1.1) uppfyller krav relaterade till definierade kvalitetsaspekter,,Klar,2019-12-10,SIS: EN 15224:2017,"Anmärkning 1     Kvalitet definieras i ISO 9000:2015, 3.6.2, som den ""utsträckning i vilken en uppsättning inneboende egenskaper hos ett objekt uppfyller krav"".",,,
68,kvalitetsledning,,,,,,,,,,,"koordinerade aktiviteter (23.6.6) för att styra och kontrollera en hälso- och sjukvårdsorganisation (2.2.1) med avseende på kvalitet

Alternativ definition     ledning med avseende på kvalitet (Contsys SE)",,Klar,2019-12-10,3R Contsys ,"Anmärkning 1     I kvalitetsledningsarbetet ingår att främja patientsäkerhet och granska verksamhetens kvalitet. En viktig informationsväg för detta är att följa utvärdering av processer och aktiviteter. 

Anmärkning 2     Definitionen i Contsys SE är formellt fel, eftersom den innehåller hela termen, om än delad i ordets två led. Därför används i VGR begreppssystem den definition som gjordes i 3R-arbetet och som är terminologiskt korrekt.",,,
69,kvalitetssäkring,,,,,,,,,,,del av kvalitetsledning (3.5.2) inriktad mot att ge förtroende för att kvalitetskrav kommer att uppfyllas,,Klar,2019-12-10,SS-EN-ISO 9000:2015/Contsys,,,,
70,kvalitetsstyrning,,,,,,,,,,,del av kvalitetsledning (3.5.2) inriktad mot att uppfylla kvalitetskrav,,Klar,2019-12-10,SS-EN-ISO 9000:2015/Contsys SE,,,,
71,risk,,,,,,,,,,,kombination av sannolikheten för en händelse och dess konsekvenser,,Klar,2019-12-10,ISO Guide 73:2009/Contsys SE,,,,
72,oavsiktlig händelse,,,,,,,,,,,fenomen som inte är en del av en normal process (3.6.1) men som kan påverka den,,Klar,2019-12-10,VGR (förslag till Contsys-revision),"Anmärkning 1     Den svenska översättningen av EN ISO 13940 är ""negativ händelse"", en term som också definieras i termpost 8.2.4. Den engelska termen är unintended event som alltså felöversatts. Därför har termen bytts ut.",,,
73,process,,,,,,,,,,,"grupp av aktiviteter (23.6.6) som samverkar eller påverkar varandra, och som använder underlag för att åstadkomma ett avsett resultat",,Klar,2019-12-10,SS-EN ISO 9000:2015/Contsys SE,"Anmärkning 1     Om det ”avsedda resultatet” av en process kallas utfall, produkt eller tjänst beror på sammanhanget.

Anmärkning 2: Underlag till en process är vanligen resultat från andra processer. Resultat från en process utgör vanligen underlag till andra processer.

Anmärkning 3: Två eller flera samverkande eller varandra påverkande processer i serie kan också kallas för en process.

Anmärkning 4: Processer i en organisation planeras och utförs vanligen under kontrollerade förhållanden för att tillföra värde.

Anmärkning 5: En process där överensstämmelse med krav hos det resulterande utfallet inte på ett omedelbart eller ekonomiskt sätt kan verifieras, kallas ofta en ”speciell process”.

Anmärkning 6: Detta är en av de gemensamma termerna och definitionerna för ISO:s standarder för ledningssystem som anges i bilaga SL av Consolidated ISO Supplement till ISO/IEC Directives, Part 1. Den ursprungliga definitionen har ändrats för att undvika cirkelresonemang mellan process och utfall, och Anm. 1 till och med 5 till termpost har lagts till",,,
74,processmodell,,,,,,,,,,,representation av en process (3.6.1),,Klar,2019-12-10,Contsys SE,Anmärkning 1:     En processmodell kan uttryckas grafiskt eller i ett formellt språk.,,,
75,produkt,,,,,,,,,,,"utfall från en organisation (3.3.1) , vilket kan framställas utan att någon transaktion äger rum mellan organisationen (1.2) och kunden",,Klar,2019-12-10,SS-EN-ISO 9000:2015,,,,
76,tjänst,,,,,,,,,,,utfall från en organisation (3.3.1) där minst en aktivitet (23.6.6) nödvändigtvis har ägt rum mellan organisationen (1.2) och kunden,,Klar,2019-12-10,ISO 9000:2015,,,,
77,utfall,,,,,,,,,,,resultat av en process (3.6.1),,Klar,2019-12-10,SS-EN-ISO 9000:2015/Contsys SE,"Anmärkning 1     Huruvida utfall från organisationen (3.3.1) är en produkt (3.6.3) eller en tjänst (3.6.4) beror på vilka egenskaper som främst är involverade. Exempelvis är en målning som är till salu hos ett galleri en produkt, medan tillhandahållande av en beställd målning är en tjänst. En hamburgare som köps i en butik är en produkt medan mottagandet av en beställning och serveringen av en hamburgare på en restaurang är en tjänst",,,
78,avtal om möte,,,,,,,,,,,överenskommelse om att träffa någon vid en viss tidpunkt och på en viss plats,,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     Varken termen eller definitionen är korrekt översättning från engelskan. Den engelska termen är appointment som betyder möte, definitionen arrangement to meet someone at a particular time and Place. Det handlar alltså inte om avtal utan ""arrangemang"", det vill säga skapande av förutsättningar för ett möte. I de underordnade begreppen bibehålls otydligheten.",,,
79,åtagande,,,,,,,,,,,åtgärd som resulterar i en eller flera deltagares skyldighet att följa en regel eller uppfylla ett avtal,,Klar,2019-12-10,ISO 12967-1:2009/Contsys SE,Anmärkning 1      Det eller de verksamhetsobjekt som deltar i utförande av ett åtagande kan vara parter eller agenter som agerar företrädare för en eller flera parter. När en åtagande gjorts av en agent är det huvudmannen som blir förpliktigad.,,,
80,data,,,,,,,,,,,formaliserad representation av informationselement,,Klar,2019-12-10,VGR (förslag till contsysrevidering ISO),"Anmärkning 1     formaliserad representation möjliggör automatisk kommunikation, behandling och lagring.

Anmärkning 2     representation av fakta, idéer eller liknande i en form lämpad för överföring, tolkning eller bearbetning av människor eller av auFattasatiska hjälpmedel (Rikstermbanken/Terminologicentrum TNC: Basord i våra fackspråk 2012)",,,
81,dataregister,,,,,,,,,,,identifierbar lagringsresurs för data (3.9.1),,Klar,2019-12-10,VGR: (förslag till Contsys-revision),,,,
